Subject,Participant.Public.ID,Gender,Age,Ethnicity,English,Education,Income,Twin
1,5f3e3bbcf00895000b2741be,Male,22,White,No,High School Diploma,Under $5 000,No
2,5d03f18bbea2b4001a0b2db3,Female,41,Asian,No,High School Diploma,$80 001-$100 000,No
3,5c1bd6ddede683000132aab5,Male,25,White,No,High School Diploma,$15 001-$25 000,No
4,5e78a08318ee0e41e1bc6a1a,Female,27,White,Yes,High School Diploma,$35 001-$50 000,No
5,5a60a51863394a0001552447,Female,24,White,No,4 Year Degree,$25 001-$35 000,No
6,6087e85b29daa9840e70f48d,Female,22,White,No,High School Diploma,Under $5 000,No
7,5eb95face45c8503b7ba79ba,Female,36,White,No,Postgraduate/Professional Degree,$5 000-$10 000,No
8,5e2380c152e7a66358a276c5,Male,25,MIxed/South Asian,Yes,Postgraduate/Professional Degree,$25 001-$35 000,No
9,5f678253d856310917632d73,Female,23,White,Yes,Postgraduate/Professional Degree,just graduated,No
10,60588947eeb9103d50735c83,Male,23,White,No,4 Year Degree,$10 001-$15 000,No
11,5c7c0fcc37432100181311a1,Female,24,White,No,4 Year Degree,$5 000-$10 000,No
12,5a35353bc82921000136b546,Male,22,White,No,High School Diploma,Under $5 000,No
13,5f91b4842e1a3f0508d9cd49,Male,36,White,No,High School Diploma,$10 001-$15 000,No
14,5ccf5b68e787e000167f85fb,Female,23,White,Yes,4 Year Degree,$15 001-$25 000,No
15,5c13f3dd328dfa0001957fc5,Male,24,White,No,High School Diploma,$5 000-$10 000,No
16,5fbb4a593dc031c2a81c7944,Female,22,middle eastern,No,High School Diploma,$5 000-$10 000,No
17,5f7f7aeb7fe61c12a0d96700,Male,20,White,No,High School Diploma,$25 001-$35 000,No
18,5f4bf799de3ea80d30fa79c3,Female,21,White,No,2 Year Degree,$5 000-$10 000,No
19,6019890e2e49e00b90471946,Female,20,White,No,2 Year Degree,$35 001-$50 000,No
20,5f50a97f44ceb0222703df77,Male,23,Black,No,High School Diploma,$5 000-$10 000,No
