,Education.Participant.Public.ID,Gender_score (1: Female; 2: Male),Age_score,Ethnicity_score,English_score,Education_score
1,5da90151062efc00151a593c,1,24,1,1,2
2,5dd286042c5c1028d1725b77,1,49,1,1,1
3,55b67c31fdf99b26b999cc1e,1,38,1,1,1
4,5e4465013f75e52fc82f7096,2,43,1,1,3
5,5c60b4802100f70001a3e137,2,29,1,1,3
6,5c6480b5f9b6300001c9d52c,2,58,1,1,1
7,5c2d187569ceff00011417de,1,33,1,1,1
8,5d745d5ad259c60001062cc3,2,19,4,1,1
9,5b98542ffb57f9000153164e,2,30,1,1,3
10,5aa61dd36475f90001a05dcf,2,47,1,1,4
11,5b3512c6415e920001b55046,2,28,1,1,3
12,5c2e3ea54f0e840001c08da9,1,26,1,1,4
13,5bd9f569eb22f2000183df4e,1,43,1,1,4
14,5a9a9a34dbdb470001eee32c,2,43,1,1,2
15,5e482100418f612c4d9775b3,2,28,1,1,4
16,561d98e03d7fe8000b0f5e09,1,62,1,1,4
17,55b0eabffdf99b2228330785,1,65,1,1,1
18,5c3260a97b740900011f5e26,1,28,1,1,2
19,5966886dee2508000108b02c,1,31,1,1,1
20,5dcf409cf30aa609340c230e,1,64,1,1,3
21,5df5174fb1f22238259d486b,1,31,1,1,4
22,5d0a9bc5950c6800012175ff,1,35,1,1,4
23,5c2ff645644d5300010c25f3,1,27,1,1,1
24,58e79ac632bebb0001b741ec,1,45,1,1,2
25,5de82c263aa2777a36b996b2,1,41,1,1,1
26,5de79f571d61c97067154a5c,2,46,4,1,3
27,5decaac46e09cf3792805023,2,25,3,1,2
28,5e571709afa7fc0d6ea0a3ad,1,33,1,1,3
29,5e40774a2ee93c2ae0ecad03,1,33,1,1,4
30,5c347cb8bef9a20001e30950,2,37,1,1,3
31,5b14791ebd9c31000156e8ab,1,54,1,1,4
32,5d4a6459061e2a000138bad3,2,43,Other,1,3
33,5dfbea4672684e000ac2896c,2,44,1,1,4
34,577f70d1454e5400015f1845,2,60,1,1,3
35,57509d9b363e77000695620b,1,67,1,1,1
36,5e5744ceecab320fc0065e91,1,33,1,1,4
37,5e6069cc03a4723c4f10ea19,2,30,4,1,3
38,5dcea7314d51e4107516c80d,1,51,1,1,3
39,5b54b7622680970001a9a7c9,1,61,1,1,1
40,5d069f2f041328001a7815be,2,77,1,1,1
41,55a55bd7fdf99b790558627c,1,41,1,1,4
42,5dcede6ce426bd02be7cfaae,1,49,1,1,3
43,5dcc948ed9873592337ae827,1,59,1,1,4
44,5997b3f8d0bcd10001dd902a,2,48,3,1,1
45,5db222231ff7b4000ab2cfc1,1,48,1,1,2
46,55c664aefdf99b5cd4c4e618,2,29,1,1,3
47,5e46d70ab1f1c5000d96800d,2,35,2,1,2
48,5dd6dadf9c84d86703aa8615,1,34,1,1,3
49,5c37aa8b832a8400010983b3,2,32,4,1,4
50,5d215a1bbf7f840019701939,1,31,1,1,4
51,5c95970cd676900016e1a940,1,42,2,2,4
52,5de2b1568f5cd52ecc1b14b8,2,41,1,1,1
53,5c8f2ac8d7ecab0018d529aa,2,35,1,1,4
54,5c52c825ea00280001fce29d,1,67,1,1,1
55,5d88f010859c9e0001810e88,1,46,1,1,3
56,596e1af7a09655000197d4bb,2,34,1,1,3
57,59417543c768a500011c9731,1,27,1,1,4
58,5c365b5e8821900001b3876c,1,60,1,1,3
59,5c0fff76e6eb4e0001b27f20,1,26,1,1,1
60,5dd3443416d10c35c37ab9b2,2,40,1,1,1
61,5cfeea9c4954fe00165895e0,2,50,1,1,3
62,5d924b1fc48e5f0017ad2579,2,36,1,1,1
63,5e2f5b28129198070e2996db,1,76,1,1,3
64,5c55e1ad4831db00016208e3,2,24,3,1,3
65,5e208482d53585397ac17440,1,31,1,1,4
66,5d9f8573ce3daf0015e3e400,2,28,1,1,3
67,5dd8c6e24c97928688acd05d,2,45,1,1,3
68,5d5b74c1fe8768000131db67,1,25,1,1,3
69,5b815e0d16aa4400016a8c90,2,33,1,1,1
70,5ded9996838b4f45b83bb3f9,1,67,1,1,1
71,5deb3c192235ad24f4a21826,1,26,1,1,2
72,5ba176b4f7e29100014449e2,1,60,1,1,3
73,5c476d19e101a500012ec201,2,39,1,1,3
74,5d8fea94efcbb5001756364b,2,36,1,1,1
75,5df861926aab7c5f659dfd85,1,51,1,1,3
76,5c9527e29e4f7400011e1571,1,47,1,1,3
77,5dd31d3216d10c341d2d2c7e,1,34,2,1,4
78,5bdf22de2562330001b987e3,2,42,1,1,1
79,5d118de2c80b57001721f93e,2,26,1,1,1
80,5e7a2ccd69a7770604dfb352,1,47,1,1,3
81,5e41c1315bb2570548948925,2,62,4,1,4
82,5e591d4c025860000a251ca7,1,29,1,1,Other
83,5e1fa60088eb2e2d97c4a4a7,1,49,4,1,3
84,5d8a4a5b57f2f50001906436,2,48,1,1,4
85,5c9107147a7067000190a544,2,45,1,1,1
86,5e28e8819061a50beacc52c5,1,38,1,1,4
87,5e6040ebbccd41000ad90a4e,2,27,1,1,3
88,5d9b84c0bc904e0414048804,1,49,1,1,1
89,5e7377566cfd2c2bfadfe467,1,55,2,1,2
90,5e5ab88a43f33029b119a48c,1,47,1,1,4
91,5e586fc1725f9f08a4a4b53e,1,52,1,1,3
92,5e45a7e926e79c000bc12a85,1,28,4,1,3
93,5e121701dc79bd8a1a22ca99,1,50,1,1,2
94,5d712561d9fdc5001a11daac,1,56,1,1,3
95,5c8eb16ed169ac0001c27629,1,67,1,1,1
96,5dd352c51c219b35931aefd1,1,56,Other,1,3
97,5d2215e737363e0001651a63,1,38,1,1,1
98,5dea5ba4446c901777bde897,1,41,1,1,4
99,59c843b646f72100019067ce,1,48,2,1,1
100,5dcf6d762e4a050ac2cba07d,2,51,1,1,2
101,55f5946a32af74001017047b,2,59,1,1,3
102,5e69cfe8978ef90387707325,2,25,2,1,1
103,5e7d324b0b53c33bfeb9e642,2,25,1,1,3
104,5c616465b672de0001fd3ac6,2,42,1,1,1
105,559e7713fdf99b7a9a12410b,2,64,1,1,1
106,5d47abcc2dc88900166f27c9,2,54,1,1,3
107,56259489ed6e5a0005c80fde,2,34,1,1,1
108,5bdc8d12b2fff7000189b6f8,1,68,1,1,1
109,5d36600685d1d50001affacb,2,50,1,1,1
110,5e2f4df549436751a44c8d8e,2,37,1,1,3
111,5cb882d33f0af9000159e00f,1,58,1,1,1
112,5c804f4092ad770015846011,1,55,Other,1,3
113,5e6fd38fe95be7071b5196bf,2,35,1,1,4
114,5dd3e5b66d52253c0e37e402,1,47,1,2,3
115,5e3079c558a8c8073fdb1ff9,2,31,1,1,1
116,55a5f19bfdf99b28b5340d00,2,57,1,1,3
117,5e402cfb9907e925bbb0d574,1,31,3,2,4
118,5bec5b873ffbad0001e8b968,1,55,1,1,1
119,5da8e478c37a8e0014585090,2,19,3,1,1
120,5d1a7bb2339da6001a12b11a,1,66,1,1,3
121,5cb568ebf0e31e0017d9bf32,1,35,1,1,2
122,5c92870723bd7e001870138e,2,76,1,1,4
123,5bf6fc936c445d0001aeba98,2,39,1,1,3
124,5cb128db0d14d3001838eef5,1,46,4,1,3
