,Age.Participant.Public.ID,Gender_score,Age_score,Ethnicity_score,English_score,Education_score
1,542493d3fdf99b691e6ac986,2,21,1,1,1
2,5ed7a7a467a98224295459ff,2,23,1,2,3
3,5e7bc109faba750e04129ef3,1,50,1,1,4
4,5d16079838325b001892e6f0,2,26,1,2,3
5,59bfeb343ed6380001598b73,1,39,1,2,4
6,5f2ff5a6bb77ce06aae87db6,1,19,1,2,1
7,5b69db5bd91aa600015841e4,2,36,1,1,2
8,5cdbe661a991a50018d8949d,2,22,1,1,4
9,5f0b8c775a17784b145f46c2,NA,18,1,2,1
10,5f480d8886d7cb2994b629d0,2,21,1,2,2
11,5ee48df02eebe918fb480028,2,20,1,2,1
12,5f457faf6c74b918f35a340c,2,32,1,1,3
13,5eeb8ccf11363a0c145d40c8,2,27,1,2,Other
14,5c9bb365008a6100015f9c1c,1,35,1,2,1
15,58064324d0b8a900015c938a,1,58,1,1,1
16,5dde6b9423f9f1dbee617eb2,1,31,1,2,3
17,5e72ccca29405c222b61077b,2,31,1,2,3
18,5d02a7a46307cd0015d49083,2,34,1,2,4
19,5e8704935aceae348c269b01,2,18,2,1,1
20,5d910477c6086600192dd2d2,2,31,4,1,4
21,5f733f953409c7015fc43d26,2,24,1,2,1
22,5f22f7cf950b7403b88e8deb,1,23,1,2,3
23,5f0c21766708b4011c0d84c4,2,22,1,2,3
24,5f3a7d7e0d320866bcd8f8f1,2,22,1,2,Other
25,5cf92c7255e1370001e54adb,2,29,1,2,1
26,5e86116068b86421a020e345,1,19,1,2,1
27,5ed5a391612eb11362b3aed3,2,24,1,2,4
28,5f45755cd51657179dd5d505,2,21,4,1,4
29,5e1a5871fb00b62d79e4de6e,2,21,1,2,1
30,5ea165642992290008e76c7f,1,29,1,2,Other
31,5eef77c5f64ab120d620e90b,1,22,1,2,1
32,5d5fc0ad29b1d80001430de0,2,22,1,2,1
33,5e5fec3363d3a0338ddcad8d,2,19,1,2,1
34,5f0d98c1c8a2f100082295b8,2,23,1,2,1
35,5e5433d9df56cd437a00a570,1,25,1,2,4
36,5c60c298af517e0001a00b00,2,22,3,2,1
37,5f326ff87342ad019f9f3c1d,2,20,1,2,1
38,5c0c38cb362fc800010682b5,2,24,1,2,4
39,5ea313491b416808c9eeaa34,1,21,1,1,3
40,5efd1ea887862b1637e0c32e,2,48,1,2,4
41,5eef31c91f1b2a3f5b4b4890,1,23,1,2,3
42,5f3417063d92112b219ee7f3,1,26,Other,2,4
43,5ea1dd85692b7c0c73166152,2,21,1,2,1
